Title,Amount,Date,Category
Thus gas indeed.,233.83,2023-08-06,Entertainment
Thousand beat likely federal why.,260.01,2023-09-17,Entertainment
Page later rate.,248.78,2023-05-15,Food
Anyone rule.,419.00,2023-02-23,Entertainment
We discussion call rich.,333.84,2023-04-03,Food
Their against pattern.,172.71,2023-09-09,Entertainment
Season travel.,72.05,2023-09-20,Food
Hotel space nearly mention girl.,245.69,2023-01-27,Entertainment
Natural they forward like success.,244.07,2023-10-17,Food
Who production general.,214.63,2023-09-21,Entertainment
Worker media though.,227.74,2023-09-29,Food
Away water experience generation.,476.17,2023-07-26,Entertainment
Indicate some position.,249.24,2023-06-17,Entertainment
Rich body.,222.98,2023-05-26,Entertainment
Safe indicate start approach successful.,165.43,2023-09-14,Entertainment
Strong offer last never toward.,211.74,2023-06-27,Food
While great.,77.58,2023-03-20,Food
Cover worry shake.,393.55,2023-10-01,Food
Away work.,388.77,2023-06-09,Entertainment
Particular tree support.,313.47,2023-06-24,Entertainment
Apple danish,2.75,2023-01-11,Food
t,1.00,2023-12-06,Food
danish,1.00,2023-12-13,Food
Test,1.00,2023-12-06,Food
