Title,Amount,Date,Category
Citizen option company computer.,486.19,2023-05-16,Other
Whatever represent protect.,320.93,2023-08-23,Other
Thus gas indeed.,233.83,2023-08-06,Entertainment
Thousand beat likely federal why.,260.01,2023-09-17,Entertainment
Page later rate.,248.78,2023-05-15,Food
Anyone rule.,419.00,2023-02-23,Entertainment
Reduce blood might as.,401.92,2023-08-11,Travel
We discussion call rich.,333.84,2023-04-03,Food
Their against pattern.,172.71,2023-09-09,Entertainment
Season travel.,72.05,2023-09-20,Food
Side specific seek.,300.63,2023-01-21,Other
Hotel space nearly mention girl.,245.69,2023-01-27,Entertainment
Onto according mission.,50.50,2023-04-28,Other
Plan head.,250.75,2023-01-15,Other
Pass difference size there.,90.50,2023-10-16,Travel
Natural they forward like success.,244.07,2023-10-17,Food
Who production general.,214.63,2023-09-21,Entertainment
Middle marriage since commercial.,305.19,2023-06-21,Travel
Worker media though.,227.74,2023-09-29,Food
Away water experience generation.,476.17,2023-07-26,Entertainment
Indicate some position.,249.24,2023-06-17,Entertainment
Rich body.,222.98,2023-05-26,Entertainment
Last big where campaign election.,435.70,2023-08-10,Travel
Training fire somebody.,441.22,2023-04-17,Other
Safe indicate start approach successful.,165.43,2023-09-14,Entertainment
Scientist popular.,340.69,2023-05-17,Other
Garden technology brother per may.,480.85,2023-07-15,Travel
Owner she worker.,115.40,2023-01-21,Other
Strong offer last never toward.,211.74,2023-06-27,Food
Up win carry.,255.25,2023-10-31,Other
While great.,77.58,2023-03-20,Food
Wife project perform.,374.19,2023-03-24,Other
Cover worry shake.,393.55,2023-10-01,Food
To return.,270.64,2023-11-11,Travel
Interview force herself watch.,304.38,2023-03-29,Travel
Will speak town somebody real.,157.47,2023-11-23,Travel
Away work.,388.77,2023-06-09,Entertainment
Particular tree support.,313.47,2023-06-24,Entertainment
