Title,Amount,Date,Category
Thus gas indeed.,233.83,2023-08-06,Entertainment
Thousand beat likely federal why.,260.01,2023-09-17,Entertainment
Their against pattern.,172.71,2023-09-09,Entertainment
Season travel.,72.05,2023-09-20,Food
Natural they forward like success.,244.07,2023-10-17,Food
Who production general.,214.63,2023-09-21,Entertainment
Worker media though.,227.74,2023-09-29,Food
Away water experience generation.,476.17,2023-07-26,Entertainment
Safe indicate start approach successful.,165.43,2023-09-14,Entertainment
Cover worry shake.,393.55,2023-10-01,Food
