Title,Amount,Date,Category
test mutli,9.00,2023-12-05,"Food, Travel"
test mutli,9.00,2023-12-05,"Food, Travel"
t,1.00,2023-12-05,"Food, Travel"
t,1.00,2023-12-05,"Food, Travel"
t 1,1.00,2023-12-05,Food
1,1.00,2023-12-04,"Food, Travel"
1,1.00,2023-12-04,"Food, Travel"
Speech book within single though.,286.97,2023-11-01,"Travel, Utilities, Entertainment, Other"
Speech book within single though.,286.97,2023-11-01,"Travel, Utilities, Entertainment, Other"
Speech book within single though.,286.97,2023-11-01,"Travel, Utilities, Entertainment, Other"
Hotel talk race consumer.,14.39,2023-12-01,"Food, Travel, Other"
Hotel talk race consumer.,14.39,2023-12-01,"Food, Travel, Other"
Hotel talk race consumer.,14.39,2023-12-01,"Food, Travel, Other"
Read dog section.,183.84,2023-11-21,"Travel, Utilities, Other"
Read dog section.,183.84,2023-11-21,"Travel, Utilities, Other"
