Title,Amount,Date,Category
Street maintain degree think explain.,116.78,2023-11-17,"Entertainment, Other"
Strategy eye during peace ready.,41.39,2023-09-28,"Food, Travel, Utilities, Entertainment, Other"
Strategy eye during peace ready.,41.39,2023-09-28,"Food, Travel, Utilities, Entertainment, Other"
Responsibility high budget rest together.,418.54,2023-09-21,"Food, Other"
Responsibility high budget rest together.,418.54,2023-09-21,"Food, Other"
Environmental me employee.,120.64,2023-08-31,"Food, Travel, Utilities, Entertainment, Other"
Environmental me employee.,120.64,2023-08-31,"Food, Travel, Utilities, Entertainment, Other"
Read wide president.,114.83,2023-09-16,"Food, Travel, Utilities"
Republican us order mother.,304.64,2023-10-28,"Travel, Utilities, Other"
Sister consider guy good.,214.74,2023-10-23,"Food, Travel, Utilities, Entertainment, Other"
Sister consider guy good.,214.74,2023-10-23,"Food, Travel, Utilities, Entertainment, Other"
Them least.,65.62,2023-08-10,"Food, Entertainment"
